,Accession Planting,Status,Inventory Year
8376,2012-0065-01-50,Dead,2014
8409,2012-0065-01-48,Dead,2017
8433,2012-0065-01-46,Dead,2020
8504,2012-0065-01-40,Dead,2017
8540,2012-0065-01-38,Dead,2017
8548,2012-0065-01-37,Dead,2016
8605,2012-0065-01-32,Dead,2015
8749,2012-0065-01-21,Dead,2015
8845,2012-0065-01-14,Dead,2020
8869,2012-0065-01-12,Dead,2019
8923,2011-0084-01-1,Dead,2019
8925,2008-0149-01-3,Dead,2016
8927,2008-0149-01-2,Dead,2012
8934,2008-0149-01-1,Dead,2014
8965,2008-0001-01-8,Dead,2019
8966,2008-0001-01-8,Dead,2019
9075,2008-0001-01-57,Dead,2018
9376,2008-0001-01-33,Dead,2016
9496,2008-0001-01-23,Dead,2018
9497,2008-0001-01-23,Dead,2018
9683,2005-0247-10-0,Dead,2020
9689,2004-0037-10-0,Dead,2009
9728,2002-0161-01-8,Dead,2017
9730,2002-0161-01-7,Dead,2019
9733,2002-0161-01-6,Dead,2005
9766,2002-0161-01-3,Dead,2016
9795,2002-0161-01-18,Dead,2016
9878,2002-0161-01-11,Dead,2009
9892,2002-0161-01-1,Dead,2016
9897,1998-0001-01-1,Dead,2012
9898,1998-0001-01-1,Dead,2012
9900,1993-0416-01-4,Dead,2016
9918,1993-0416-01-2,Dead,2005
9920,1993-0416-01-1,Dead,2008
9921,1993-0402-01-3,Dead,2004
9922,1993-0402-01-3,Dead,2004
9924,1993-0402-01-3,Dead,2017
9942,1993-0402-01-1,Dead,2012
9960,1993-0392-01-1,Dead,2016
9961,1993-0375-01-5,Dead,
9964,1993-0375-01-4,Dead,2019
9968,1993-0375-01-3,Dead,2016
9987,1993-0375-01-1,Dead,2016
10072,1993-0095-01-1,Dead,2018
10073,1993-0076-01-4,Dead,
10077,1993-0076-01-3,Dead,2016
10210,1992-1482-01-1,Dead,2018
10373,1992-0135-01-1,Dead,2019
10570,1991-0210-01-2,Dead,2016
10573,1991-0210-01-15,Dead,2016
10578,1991-0210-01-14,Dead,2017
10580,1991-0210-01-13,Dead,2016
10582,1991-0210-01-12,Dead,2016
10584,1991-0210-01-10,Dead,2016
10668,1991-0209-01-3,Dead,2017
10705,1990-0886-01-2,Dead,2019
10715,1990-0886-01-1,Dead,2015
10717,1990-0658-02-1,Dead,2005
10730,1990-0350-01-9,Dead,
10731,1990-0350-01-8,Dead,
10733,1990-0350-01-7,Dead,2016
10775,1990-0350-01-3,Dead,
10838,1990-0350-01-11,Dead,
10839,1990-0350-01-10,Dead,
10841,1990-0350-01-1,Dead,2016
10843,1990-0214-01-9,Dead,2010
10885,1990-0214-01-6,Dead,2020
10892,1990-0214-01-5,Dead,2015
10922,1990-0214-01-3,Dead,2020
10923,1990-0214-01-3,Dead,2020
10936,1990-0214-01-24,Dead,2019
10968,1990-0214-01-21,Dead,2010
10987,1990-0214-01-2,Dead,2010
10988,1990-0214-01-2,Dead,2012
11000,1990-0214-01-19,Dead,2016
11005,1990-0214-01-18,Dead,2010
11006,1990-0214-01-18,Dead,2012
11065,1990-0214-01-14,Dead,2010
11130,1987-0600-01-2,Dead,2015
11131,1987-0600-01-2,Dead,2019
11133,1987-0454-02-1,Dead,
11134,1987-0385-01-1,Dead,
11145,1987-0157-01-4,Dead,2017
11146,1987-0157-01-4,Dead,2017
11182,1987-0156-01-7,Dead,2014
11204,1987-0156-01-5,Dead,2013
11212,1987-0156-01-4,Dead,2015
11255,1987-0156-01-3,Dead,2019
11260,1987-0156-01-29,Dead,2010
11261,1987-0156-01-29,Dead,2012
11274,1987-0156-01-28,Dead,2010
11275,1987-0156-01-28,Dead,2012
11286,1987-0156-01-28,Dead,2020
11287,1987-0156-01-28,Dead,2020
11292,1987-0156-01-27,Dead,2010
11293,1987-0156-01-27,Dead,2012
11320,1987-0156-01-25,Dead,2016
11426,1987-0156-01-18,Dead,2017
11459,1987-0156-01-15,Dead,2010
11460,1987-0156-01-15,Dead,2012
11474,1987-0156-01-14,Dead,2010
11475,1987-0156-01-14,Dead,2012
11486,1987-0156-01-13,Dead,2010
11491,1987-0156-01-12,Dead,2010
11492,1987-0156-01-12,Dead,2012
11545,1987-0125-01-2,Dead,2010
11558,1987-0125-01-1,Dead,2019
11606,1987-0009-01-6,Dead,2017
11618,1987-0009-01-5,Dead,2019
11636,1987-0009-01-3,Dead,2007
11637,1987-0009-01-3,Dead,2007
11639,1987-0009-01-2,Dead,2010
11653,1987-0009-01-17,Dead,2019
11656,1987-0009-01-16,Dead,2007
11683,1987-0009-01-14,Dead,2017
11684,1987-0009-01-14,Dead,2017
11686,1987-0009-01-13,Dead,2010
11719,1987-0009-01-10,Dead,2010
11723,1987-0009-01-1,Dead,2016
11724,1986-0339-01-1,Dead,
11726,1986-0158-01-9,Dead,2010
11768,1986-0158-01-6,Dead,2019
11770,1986-0158-01-5,Dead,
11771,1986-0158-01-4,Dead,
11774,1986-0158-01-3,Dead,
11813,1986-0158-01-2,Dead,
