,Accession Planting,Status,Inventory Year
11000,1990-0214-01-19,Dead,2016
12192,1985-0254-01-20,Dead,2016
10580,1991-0210-01-13,Dead,2016
12721,1982-0006-06-2,Dead,2016
8925,2008-0149-01-3,Dead,2016
9376,2008-0001-01-33,Dead,2016
12345,1983-0683-01-4,Dead,2016
13258,1978-0501-01-1,Dead,2016
13289,1978-0489-01-1,Dead,2016
13342,1977-1447-01-1,Dead,2016
13373,1977-0887-01-1,Dead,2016
1677,2013-1313-01-1,Dead,2016
8548,2012-0065-01-37,Dead,2016
7630,2012-0214-01-18,Dead,2016
7181,2012-0214-01-50,Dead,2016
13703,1976-0379-01-1,Dead,2016
10573,1991-0210-01-15,Dead,2016
7112,2012-0254-01-11,Dead,2016
13617,1976-0379-01-17,Dead,2016
8175,2012-0065-01-66,Dead,2016
13787,1970-1021-01-2,Dead,2016
13601,1976-0379-01-19,Dead,2016
13132,1978-0542-01-2,Dead,2016
13826,1966-8295-01-4,Dead,2016
1001,2015-0151-01-10,Dead,2016
13828,1966-8295-01-3,Dead,2016
10077,1993-0076-01-3,Dead,2016
9968,1993-0375-01-3,Dead,2016
9960,1993-0392-01-1,Dead,2016
13830,1966-8295-01-2,Dead,2016
13824,1966-8295-01-5,Dead,2016
9900,1993-0416-01-4,Dead,2016
10570,1991-0210-01-2,Dead,2016
9892,2002-0161-01-1,Dead,2016
9795,2002-0161-01-18,Dead,2016
9766,2002-0161-01-3,Dead,2016
9987,1993-0375-01-1,Dead,2016
4017,2012-0314-01-33,Dead,2017
5212,2012-0312-01-29,Dead,2017
12787,1982-0006-06-11,Dead,2017
11684,1987-0009-01-14,Dead,2017
2856,2013-0013-01-17,Dead,2017
2855,2013-0013-01-18,Dead,2017
2854,2013-0013-01-19,Dead,2017
840,2015-0152-01-1,Dead,2017
1930,2013-0266-01-1,Dead,2017
11606,1987-0009-01-6,Dead,2017
1717,2013-0266-01-8,Dead,2017
10578,1991-0210-01-14,Dead,2017
11426,1987-0156-01-18,Dead,2017
6116,2012-0280-01-5,Dead,2017
10668,1991-0209-01-3,Dead,2017
9728,2002-0161-01-8,Dead,2017
13215,1978-0542-01-12,Dead,2017
11145,1987-0157-01-4,Dead,2017
8504,2012-0065-01-40,Dead,2017
8409,2012-0065-01-48,Dead,2017
8540,2012-0065-01-38,Dead,2017
7077,2012-0254-01-16,Dead,2017
7081,2012-0254-01-15,Dead,2017
6775,2012-0254-01-40,Dead,2017
12253,1985-0254-01-13,Dead,2018
10210,1992-1482-01-1,Dead,2018
6346,2012-0280-01-3,Dead,2018
740,2016-0042-01-4,Dead,2018
10072,1993-0095-01-1,Dead,2018
7073,2012-0254-01-17,Dead,2018
3251,2012-0315-01-50,Dead,2018
9497,2008-0001-01-23,Dead,2018
3854,2012-0314-01-47,Dead,2018
7641,2012-0214-01-17,Dead,2018
8198,2012-0065-01-64,Dead,2018
3320,2012-0315-01-45,Dead,2018
9075,2008-0001-01-57,Dead,2018
13031,1979-0328-01-1,Dead,2019
73,2019-0188-01-12,Dead,2019
11921,1986-0158-01-11,Dead,2019
403,2018-0026-01-5,Dead,2019
759,2016-0042-01-12,Dead,2019
792,2015-8888-01-1,Dead,2019
2179,2013-0109-01-1,Dead,2019
3330,2012-0315-01-44,Dead,2019
7286,2012-0214-01-43,Dead,2019
7480,2012-0214-01-29,Dead,2019
7702,2012-0214-01-12,Dead,2019
8022,2012-0065-01-79,Dead,2019
8869,2012-0065-01-12,Dead,2019
8923,2011-0084-01-1,Dead,2019
8965,2008-0001-01-8,Dead,2019
9964,1993-0375-01-4,Dead,2019
9730,2002-0161-01-7,Dead,2019
10373,1992-0135-01-1,Dead,2019
10705,1990-0886-01-2,Dead,2019
11768,1986-0158-01-6,Dead,2019
11653,1987-0009-01-17,Dead,2019
11618,1987-0009-01-5,Dead,2019
11558,1987-0125-01-1,Dead,2019
10936,1990-0214-01-24,Dead,2019
11255,1987-0156-01-3,Dead,2019
80,2019-0142-01-2,Dead,2020
1138,2014-0403-01-1,Dead,2020
1207,2014-0149-01-8,Dead,2020
1920,2013-0266-01-10,Dead,2020
4277,2012-0314-01-12,Dead,2020
3727,2012-0315-01-11,Dead,2020
9683,2005-0247-10-0,Dead,2020
5530,2012-0307-01-49,Dead,2020
6708,2012-0254-01-47,Dead,2020
10923,1990-0214-01-3,Dead,2020
12145,1985-0254-01-24,Dead,2020
8845,2012-0065-01-14,Dead,2020
10885,1990-0214-01-6,Dead,2020
3422,2012-0315-01-36,Dead,2020
8433,2012-0065-01-46,Dead,2020
