2012-0254-01-27,,,,,,
2012-0254-01-29,,,,,,
2012-0254-01-3,,,,,,
2012-0254-01-38,,,,,,
2012-0254-01-4,,,,,,
2012-0254-01-48,,,,,,
2012-0254-01-49,,,,,,
2012-0254-01-5,,,,,,
2012-0254-01-50,,,,,,
2012-0254-01-7,,,,,,
2012-0254-01-8,,,,,,
2012-0280-01-1,,,,,,
2012-0280-01-21,,,,,,
2012-0280-01-25,,,,,,
2012-0280-01-35,,,,,,
2012-0280-01-38,,,,,,
2012-0280-01-39,,,,,,
2012-0280-01-40,,,,,,
2012-0280-01-45,,,,,,
2012-0280-01-7,,,,,,
2012-0280-01-9,,,,,,
2012-0282-01-2,,,,,,
2012-0307-01-35,,,,,,
2012-0307-01-36,,,,,,
2012-0307-01-37,,,,,,
2012-0307-01-38,,,,,,
2012-0307-01-39,,,,,,
2012-0307-01-40,,,,,,
2012-0307-01-41,,,,,,
2012-0307-01-42,,,,,,
2012-0307-01-43,,,,,,
2012-0307-01-44,,,,,,
2012-0307-01-46,,,,,,
2012-0307-01-47,,,,,,
2012-0307-01-48,,,,,,
2012-0312-01-10,,,,,,
2012-0312-01-16,,,,,,
2012-0312-01-17,,,,,,
2012-0312-01-18,,,,,,
2012-0312-01-19,,,,,,
2012-0312-01-20,,,,,,
2012-0312-01-21,,,,,,
2012-0312-01-22,,,,,,
2012-0312-01-23,,,,,,
2012-0312-01-24,,,,,,
2012-0312-01-25,,,,,,
2012-0312-01-26,,,,,,
2012-0312-01-27,,,,,,
2012-0312-01-28,,,,,,
2012-0312-01-30,,,,,,
2012-0312-01-31,,,,,,
2012-0312-01-32,,,,,,
2012-0312-01-33,,,,,,
2012-0312-01-34,,,,,,
2012-0312-01-35,,,,,,
2012-0312-01-38,,,,,,
2012-0312-01-39,,,,,,
2012-0312-01-4,,,,,,
2012-0312-01-40,,,,,,
2012-0312-01-45,,,,,,
2012-0312-01-5,,,,,,
2012-0312-01-6,,,,,,
2012-0312-01-7,,,,,,
2012-0312-01-8,,,,,,
2012-0313-01-1,,,,,,
2012-0313-01-10,,,,,,
2012-0313-01-11,,,,,,
2012-0313-01-12,,,,,,
2012-0313-01-13,,,,,,
2012-0313-01-14,,,,,,
2012-0313-01-15,,,,,,
2012-0313-01-2,,,,,,
2012-0313-01-28,,,,,,
2012-0313-01-29,,,,,,
2012-0313-01-3,,,,,,
2012-0313-01-30,,,,,,
2012-0313-01-31,,,,,,
2012-0313-01-32,,,,,,
2012-0313-01-33,,,,,,
2012-0313-01-34,,,,,,
2012-0313-01-35,,,,,,
2012-0313-01-4,,,,,,
2012-0313-01-41,,,,,,
2012-0313-01-42,,,,,,
2012-0313-01-43,,,,,,
2012-0313-01-44,,,,,,
2012-0313-01-47,,,,,,
2012-0313-01-48,,,,,,
2012-0313-01-49,,,,,,
2012-0313-01-5,,,,,,
2012-0313-01-6,,,,,,
2012-0313-01-7,,,,,,
2012-0313-01-8,,,,,,
