ID,Lat,Long
173,33.4601382,-111.9427572
174,33.4602136,-111.9426634
175,33.4601770,-111.9428020
176,33.4599447,-111.9430677
177,33.4599203,-111.9430141
178,33.4599166,-111.9429376
179,33.4601241,-111.9429262
180,33.4598875,-111.9429705
181,33.4598442,-111.9429011
182,33.4599642,-111.9429872
183,33.4601395,-111.9428368
184,33.4600631,-111.9427346
185,33.4600438,-111.9427332
186,33.4597329,-111.9440706
187,33.4599166,-111.9427147
188,33.4601726,-111.9430476
189,33.4595504,-111.9450075
190,33.4595545,-111.9449012
191,33.4595435,-111.9445986
192,33.4594831,-111.9441715
193,33.4597830,-111.9443533
194,33.4595444,-111.9445569
195,33.4602156,-111.9434666
196,33.4603126,-111.9437932
197,33.4603469,-111.9437411
198,33.4601689,-111.9437637
199,33.4600802,-111.9437696
200,33.4600631,-111.9437815
201,33.4600575,-111.9437570
202,33.4603188,-111.9441928
203,33.4595195,-111.9430799
204,33.4589931,-111.9432527
205,33.4590466,-111.9432728
206,33.4590863,-111.9431488
207,33.4590705,-111.9431715
208,33.4591650,-111.9432347
209,33.4589797,-111.9432778
210,33.4602862,-111.9453159
211,33.4603604,-111.9441936
212,33.4600908,-111.9431045
213,33.4602504,-111.9448331
214,33.4602749,-111.9446732
215,33.4602620,-111.9447189
216,33.4608688,-111.9447821
217,33.4607778,-111.9448982
218,33.4608502,-111.9447500
219,33.4609501,-111.9448686
220,33.4604143,-111.9450297
221,33.4603601,-111.9448802
222,33.4605942,-111.9449645
223,33.4605823,-111.9449157
224,33.4606390,-111.9452028
225,33.4614139,-111.9457807
226,33.4612430,-111.9457117
227,33.4606432,-111.9451673
228,33.4610230,-111.9449105
229,33.4610280,-111.9449009
230,33.4610279,-111.9448918
231,33.4610246,-111.9448826
232,33.4610212,-111.9448805
233,33.4610074,-111.9444130
234,33.4612560,-111.9447262
235,33.4612264,-111.9445992
236,33.4607413,-111.9445206
237,33.4607405,-111.9449303
238,33.4608640,-111.9443405
239,33.4608979,-111.9443415
240,33.4619088,-111.9455454
241,33.4600462,-111.9426482
242,33.4600040,-111.9446859
243,33.4606700,-111.9452138
244,33.4621716,-111.9463686
245,33.4623998,-111.9465321
246,33.4624465,-111.9463007
247,33.4622773,-111.9462356
248,33.4624220,-111.9464826
249,33.4623892,-111.9465585
250,33.4624000,-111.9464083
251,33.4623810,-111.9466129
252,33.4622039,-111.9463696
253,33.4623114,-111.9461614
254,33.4622173,-111.9464757
255,33.4620551,-111.9464847
256,33.4585091,-111.9426562
257,33.4581087,-111.9422625
258,33.4580993,-111.9425739
259,33.4581324,-111.9426512
260,33.4581181,-111.9426892
261,33.4582091,-111.9426117
262,33.4582046,-111.9426186
263,33.4582128,-111.9425204
264,33.4581623,-111.9425860
265,33.4582385,-111.9423071
266,33.4582830,-111.9423615
267,33.4583430,-111.9425226
268,33.4580641,-111.9422466
269,33.4583992,-111.9425067
270,33.4584062,-111.9425991
271,33.4585819,-111.9424698
272,33.4584021,-111.9421347
273,33.4586705,-111.9421697
274,33.4586882,-111.9421746
275,33.4588105,-111.9422688
276,33.4588073,-111.9423759
277,33.4588153,-111.9423733
278,33.4581300,-111.9422771
279,33.4588932,-111.9423241
280,33.4587511,-111.9425910
281,33.4586720,-111.9426531
282,33.4586540,-111.9426622
283,33.4585199,-111.9427205
284,33.4583976,-111.9428028
285,33.4581296,-111.9422909
286,33.4584070,-111.9428228
