Genus,Species,Accession/Planting,Inventory Date,Status,Inventory Note,Measurement Date,Height,Height Unit,DBH,DBH Unit,Measurement Note,Location Details/Directions to Site,Inventory Latitude,Inventory Longitude
Carnegiea,gigantea,1990-0214-01-23,2/26/20 13:52,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:52,9.5,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599642,-111.9429872
Carnegiea,gigantea,1990-0214-01-4,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,8.9,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601395,-111.9428368
Carnegiea,gigantea,1990-0214-01-5,2/12/20 0:00,Alive,Located alive with tag during 2020 Saguaro inventory.,12/2/12 13:44,15.5,feet,16.5,inches,"1 arm, 7 buds, dl.",,,
Carnegiea,gigantea,1990-0214-01-7,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,21.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600631,-111.9427346
Carnegiea,gigantea,1990-0214-01-8,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,14.9,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600438,-111.9427332
Carnegiea,gigantea,1990-0350-01-12,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,18.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4597329,-111.9440706
Carnegiea,gigantea,1990-0350-01-14,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,11.1,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4599166,-111.9427147
Carnegiea,gigantea,1990-0350-01-16,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,16.1,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601726,-111.9430476
Carnegiea,gigantea,1990-0350-01-2,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,10.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4595504,-111.9450075
Carnegiea,gigantea,1990-0350-01-3,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,15,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4595545,-111.9449012
Carnegiea,gigantea,1990-0350-01-4,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,9.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4595435,-111.9445986
Carnegiea,gigantea,1990-0350-01-5,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,0.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4594831,-111.9441715
Carnegiea,gigantea,1990-0350-01-6,2/26/20 13:54,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:54,10.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.459783,-111.9443533
Carnegiea,gigantea,1990-0374-01-1,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,12.2,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4595444,-111.9445569
Carnegiea,gigantea,1991-0209-01-1,2/26/20 13:46,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:46,1.2,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4602156,-111.9434666
Carnegiea,gigantea,1991-0209-01-2,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,18.7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4603126,-111.9437932
Carnegiea,gigantea,1991-0209-01-4,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,19.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4603469,-111.9437411
Carnegiea,gigantea,1991-0209-01-5,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,19.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4601689,-111.9437637
Carnegiea,gigantea,1991-0209-01-6,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,15.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600802,-111.9437696
Carnegiea,gigantea,1991-0209-01-7,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,16,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600631,-111.9437815
Carnegiea,gigantea,1991-0209-01-8,2/26/20 13:55,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:55,7,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4600575,-111.943757
Carnegiea,gigantea,1991-0210-01-1,2/26/20 13:53,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:53,1.9,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4603188,-111.9441928
Carnegiea,gigantea,1991-0210-01-3,2/26/20 13:38,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:38,20,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4595195,-111.9430799
Carnegiea,gigantea,1991-0210-01-4,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,19.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4589931,-111.9432527
Carnegiea,gigantea,1991-0210-01-5,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,12.6,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4590466,-111.9432728
Carnegiea,gigantea,1991-0210-01-6,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,15.3,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4590863,-111.9431488
Carnegiea,gigantea,1991-0210-01-7,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,20.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4590705,-111.9431715
Carnegiea,gigantea,1991-0210-01-8,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,19.4,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.459165,-111.9432347
Carnegiea,gigantea,1991-0210-01-9,2/26/20 13:40,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/20 13:40,18.8,feet,,,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",,33.4589797,-111.9432778
