Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0320-01-1,2/14/2019 0:00,Alive,Inventoried; in propagation during full garden saguaro inventory of Feb 2019,,,,,,
2013-0012-01-1,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,5.7,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595941,-111.9446265
2013-0012-01-10,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,20.1,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4594086,-111.944766
2013-0012-01-11,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,14.1,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4594373,-111.9447238
2013-0012-01-12,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,14.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595359,-111.9447076
2013-0012-01-13,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,6.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595872,-111.9447739
2013-0012-01-14,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,18.1,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4595161,-111.9447706
2013-0012-01-15,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,17.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4594827,-111.9447562
2013-0012-01-16,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,12.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4594053,-111.9449005
2013-0012-01-17,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,10.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4593668,-111.9449556
2013-0012-01-18,2/26/2020 13:39,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:39,10.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4593384,-111.945059
